,rightankle,leftankle,rightknee,leftknee,righthip,lefthip,rightshoulder,leftshoulder,rightankle leftankle,rightankle rightknee,rightankle leftknee,rightankle righthip,rightankle lefthip,rightankle rightshoulder,rightankle leftshoulder,leftankle rightknee,leftankle leftknee,leftankle righthip,leftankle lefthip,leftankle rightshoulder,leftankle leftshoulder,rightknee leftknee,rightknee righthip,rightknee lefthip,rightknee rightshoulder,rightknee leftshoulder,leftknee righthip,leftknee lefthip,leftknee rightshoulder,leftknee leftshoulder,righthip lefthip,righthip rightshoulder,righthip leftshoulder,lefthip rightshoulder,lefthip leftshoulder,rightshoulder leftshoulder,curve
39,163.18,148.23,166.05,175.34,140.83,150.9,10.35,43.64,24188.1714,27096.039000000004,28611.981200000002,22980.639400000004,24623.862,1688.913,7121.175200000001,24613.5915,25990.6482,20875.2309,22367.907,1534.1805,6468.7572,29115.207000000002,23384.821500000005,25056.945000000003,1718.6175,7246.4220000000005,24693.132200000004,26458.806,1814.769,7651.8376,21251.247000000003,1457.5905,6145.8212,1561.815,6585.276000000001,451.674,1
40,142.41,136.54,170.86,168.28,153.12,155.41,1.21,4.89,19444.661399999997,24332.1726,23964.7548,21805.8192,22131.9381,172.31609999999998,696.3848999999999,23329.2244,22976.9512,20907.0048,21219.681399999998,165.21339999999998,667.6805999999999,28752.3208,26162.083200000005,26553.352600000002,206.7406,835.5054,25767.033600000002,26152.3948,203.6188,822.8892,23796.3792,185.2752,748.7568,188.0461,759.9549,5.916899999999999,1
41,174.12,161.83,176.33,178.95,155.91,168.39,20.05,43.82,28177.839600000003,30702.579600000005,31158.773999999998,27147.0492,29320.066799999997,3491.106,7629.9384,28535.483900000003,28959.4785,25230.9153,27250.5537,3244.6915000000004,7091.390600000001,31554.2535,27491.6103,29692.2087,3535.4165000000003,7726.780600000001,27900.0945,30133.390499999994,3587.9474999999998,7841.589,26253.684899999997,3125.9955,6831.9762,3376.2194999999997,7378.849799999999,878.591,1
42,87.38,113.73,168.56,179.55,159.51,171.6,15.31,49.2,9937.7274,14728.772799999999,15689.079,13937.983799999998,14994.408,1337.7878,4299.0960000000005,19170.3288,20420.221500000003,18141.0723,19516.068,1741.2063,5595.5160000000005,30264.948000000004,26887.0056,28924.896,2580.6536,8293.152,28640.0205,30810.780000000002,2748.9105000000004,8833.86,27371.915999999997,2442.0981,7847.892,2627.196,8442.72,753.2520000000001,1
43,147.69,131.12,170.75,172.87,133.39,147.53,2.02,58.3,19365.1128,25218.0675,25531.1703,19700.369099999996,21788.7057,298.3338,8610.327,22388.74,22666.7144,17490.0968,19344.1336,264.86240000000004,7644.296,29517.5525,22776.3425,25190.7475,344.915,9954.725,23059.129299999997,25503.5111,349.1974,10078.321,19679.0267,269.4478,7776.636999999999,298.0106,8600.999,117.76599999999999,1
44,122.42,96.29,151.21,152.17,123.85,137.07,13.98,72.2,11787.821800000002,18511.128200000003,18628.6514,15161.716999999999,16780.1094,1711.4316000000001,8838.724,14560.010900000001,14652.4493,11925.5165,13198.4703,1346.1342000000002,6952.138000000001,23009.6257,18727.3585,20726.3547,2113.9158,10917.362000000001,18846.2545,20857.941899999998,2127.3366,10986.673999999999,16976.119499999997,1731.423,8941.97,1916.2386,9896.454,1009.3560000000001,1
45,151.51,151.52,167.31,161.93,139.67,143.45,7.2,35.93,22956.7952,25349.1381,24534.0143,21161.4017,21734.1095,1090.872,5443.7543,25350.811200000004,24535.6336,21162.7984,21735.543999999998,1090.9440000000002,5444.113600000001,27092.5083,23368.1877,24000.619499999997,1204.632,6011.4483,22616.7631,23228.8585,1165.8960000000002,5818.1449,20035.6615,1005.6239999999999,5018.343099999999,1032.84,5154.1585,258.696,1
46,125.1,126.44,153.12,152.83,142.3,145.53,2.27,15.88,15817.643999999998,19155.311999999998,19119.033,17801.73,18205.803,283.977,1986.588,19360.4928,19323.825200000003,17992.412,18400.8132,287.0188,2007.8672000000001,23401.3296,21788.976000000002,22283.5536,347.5824,2431.5456000000004,21747.709000000003,22241.3499,346.9241,2426.9404000000004,20708.919,323.021,2259.724,330.3531,2311.0164,36.0476,1
47,92.39,101.31,156.64,164.67,129.79,144.95,9.96,2.75,9360.0309,14471.969599999999,15213.861299999999,11991.2981,13391.930499999999,920.2044000000001,254.0725,15869.1984,16682.717699999997,13149.0249,14684.884499999998,1009.0476000000001,278.6025,25793.908799999997,20330.305599999996,22704.967999999997,1560.1344,430.76,21372.519299999996,23868.916499999996,1640.1132,452.8425,18813.060499999996,1292.7084,356.92249999999996,1443.702,398.61249999999995,27.39,1
48,150.44,159.46,150.17,169.27,146.72,161.62,8.72,33.62,23989.1624,22591.5748,25464.9788,22072.5568,24314.1128,1311.8368,5057.792799999999,23946.1082,26991.794200000004,23395.9712,25771.9252,1390.4912000000002,5361.0452,25419.2759,22032.942399999996,24270.4754,1309.4824,5048.715399999999,24835.294400000002,27357.417400000002,1476.0344000000002,5690.8574,23712.8864,1279.3984,4932.7264,1409.3264000000001,5433.6644,293.1664,1
